label,text
MISLEADING:," An article stating that Italian authorities knew about a promising drug that could cure Covid-19, but they ignored it."
FALSE:, A video showing a light show at the Eiffel Tower in Paris is shared with messages indicating that it is a tribute to the victims of COVID-19.
FALSE:, Delhi police released this coronavirus guideline.
FALSE:, The Argentine company La Campagnola closed due to quarantine.
FALSE:," SARS-CoV-2 is a “bacterial infection,” not a virus."
Misleading:, Patricia Bullrich (former Minister of Security in Argentina): “Only 25% of Argentine companies have come to have some help from the State”.
MOSTLY FALSE:, Video of patients dancing in a COVID-19 quarantine centre is from Mumbai.
MOSTLY FALSE:, The US government’s Center for Disease Control has officialized the emerging scientific evidence on coronavirus transmission with a rank of circumstances and enviroments by risk of contamination.
FALSE:, A police officer from São Paulo rescued his mother while she was about to be buried alive.
FALSE:," Cardinal Antonio Cañizares, from Spain, has assured that one of the vaccines that is being investigated against COVID-19 is made from cells of aborted fetuses."
FALSE:, Gates Foundation planting microchips during COVID19 swab testing.
FALSE:, Infrared thermometers can cause damage to the retina.
MISLEADING:," A picture showing Italian politicians eating together, not wearing masks and not respecting social distancing measures. The picture was alledegly taken during the “Stati Generali” conference in June 2020."
MOSTLY FALSE:, Coronavirus does not affect people with ‘O+’ blood type.
FALSE:, The coronavirus is an amplified bacteria related to 5g.
FALSE:," Cardinal Antonio Cañizares, from Spain, has assured that one of the vaccines that is being investigated against COVID-19 is made from cells of aborted fetuses."
FALSE:," A video shows Camilo Santana, governor of Ceará in Brazil, saying expletives to explain why he is prorrogating lockdown measures."
MOSTLY FALSE:, Coronavirus does not affect people with ‘O+’ blood type.
FALSE:," A picture with a quote attributed to Bill Gates, stating: “The vaccine won’t be safe, but let’s get it out quickly anyway, and worry about the consequences later”"
FALSE:, Infrared thermometers can cause damage to the retina.
FALSE:," Photo shows cremation ovens being transferred to Yopal, Colombia."
FALSE:, The coronavirus causing COVID-19 has been existing since 2003.
FALSE:, An alleged alert issued by the WHO due to an infectious outbreak in India due to a virus called Nipah that would be “more deadly than COVID” as published by some Spanish media.
FALSE:," Supreme Court released 32,000 prisoners because of COVID-19."
FALSE:, Belgian doctors turn their back on WHO director.
FALSE:," Suicides ‘have increased 26% during quarantine in Medellín’, Colombia."
FALSE:, Bill & Melinda Gates Foundation building says “Center for Global Human Population Reduction” on its front.
FALSE:, ICMR study claims COVID-19 cases to peak in mid November causing paucity of ICUs and Ventilators.
FALSE:," Video of the president of the Catholic University of Murcia (UCAM), José Luis Mendoza, in which he falsely assures that the coronavirus was predicted at the 2012 London Olympics."
FALSE:, Mine Phone Sayardaw predicted that COVID-19 infections could exceed 100 million worldwide.
FALSE:," Suicides ‘have increased 26% during quarantine in Medellín’, Colombia."
FALSE:, Gargling with warm water and salt cure the coronavirus.
FALSE:, Bill & Melinda Gates Foundation building says “Center for Global Human Population Reduction” on its front.
FALSE:, Belgian doctors turn their back on WHO director.
MISLEADING:," A picture of the Italian Prime Minister Giuseppe Conte, allegedly taken at the “Stati Generali” conference organized in Rome during the Covid-19 pandemic. In the picture Conte is speaking closely with other people, none of whom is wearing protective masks."
FALSE:," “In a very real sense, (Oklahoma has) flattened the curve. … The number of cases in Oklahoma — it’s declined precipitously.”"
MISLEADING:, A newspaper article stating that the Italian newspaper “Il Fatto Quotidiano” illicitly benefited from public fundings linked to COVID-19.
FALSE:," Schools will not open on September 1. In Ukraine, September 1 is the beginning of the school year."
FALSE:," João Doria, governor of São Paulo, signed a contract with Sinovac to develop a vaccine against COVID-19 in August. Therefore, he knew all about the disease and is part of a Chinese conspiracy."
FALSE:," According to a statement appearing to be coming from WHO “There is no pandemic. The epidemic does not exist. No vaccine is needed. Healthy people do not need gloves, face masks and other protective equipment. There was no need for a lockdown and a curfew as well as the so-called contact tracing. The virus cannot survive on surfaces – such an isolation was only the demand of governments. Each and every organisation, fitness clubs, theatres, restaurants, cafes and bars can work at full capacity.”"
FALSE:, Video shows quarantined patients dancing in a COVID-19 center in Mumbai.
MISLEADING:," A picture of the Italian Prime Minister Giuseppe Conte, allegedly taken at the “Stati Generali” conference organized in Rome during the Covid-19 pandemic. In the picture Conte is eating pizza while not respecting social distancing norms or any other safety measure"
FALSE:, Argentine President Alberto Fernández said that he respects distancing from people and that “all” his selfies are “one and a half meters away”.
FALSE:," “If we stopped testing right now, we’d have very few cases, if any.”"
